ID,MPN,Tubewell,Place
1,2.16,Tubewell of human,Sadar
12,2.16,Tubewell of human,Birgonj
18,2.5,Tubewell of human,Kaharol
24,1.83,Tubewell of human,Birol
30,2.33,Tubewell of human,Chirirbandar
33,1.66,Tubewell of dairy Farm,Sadar
36,2.33,Tubewell of dairy Farm,Birgonj
39,2.66,Tubewell of dairy Farm,Kaharol
42,2,Tubewell of dairy Farm,Birol
45,2.66,Tubewell of dairy Farm,Chirirbandar
48,14,Manger of dairy farm,Sadar
51,17.33,Manger of dairy farm,Birgonj
52,14,Manger of dairy farm,Kaharol
57,16.33,Manger of dairy farm,Birol
58,15.33,Manger of dairy farm,Chirirbandar
1,2.66,Tubewell of poultry farm,Sadar
12,2,Tubewell of poultry farm,Birgonj
18,2.33,Tubewell of poultry farm,Kaharol
24,1.66,Tubewell of poultry farm,Birol
30,2,Tubewell of poultry farm,Chirirbandar
33,12.33,Waterer of poultry farm,Sadar
36,9.66,Waterer of poultry farm,Birgonj
39,10.33,Waterer of poultry farm,Kaharol
42,13.33,Waterer of poultry farm,Birol
45,12.33,Waterer of poultry farm,Chirirbandar
